new_dist,dem,rep,total
01,243744.6432985991,223427.12894137972,467171.77223997883
02,317706.6296308586,302416.1068188521,620122.7364497107
03,203879.05245193857,195559.5664052567,399438.61885719525
04,205022.2830287326,163948.49718240616,368970.7802111388
05,243995.7371073386,317273.95508178213,561269.6921891207
06,175021.87310659132,154837.51022773611,329859.38333432743
07,187743.41992107735,158231.44808949815,345974.86801057553
08,218201.10507309713,123557.21922402304,341758.32429712015
09,157038.63318186268,122751.27639841363,279789.9095802763
10,236046.15897319256,133231.64454183652,369277.8035150291
11,290546.1565356365,65421.49936010458,355967.6558957411
12,277178.60176832264,42208.31394151121,319386.91570983385
13,217049.92027660462,176869.55198933926,393919.4722659439
14,189543.2400938614,100614.66003547992,290157.9001293413
15,226649.1051155305,91344.21635600257,317993.32147153304
16,238258.40877265614,93880.6700010748,332139.07877373096
17,177265.34354442987,83527.39808847061,260792.7416329005
18,191841.76200880628,124195.19180748951,316036.9538162958
19,297445.8726529835,169849.19957751426,467295.0722304978
20,111213.63825409983,224839.5147631808,336053.1530172806
21,98051.9018178399,88106.62097528741,186158.5227931273
22,87939.23083490194,91813.02216384427,179752.25299874623
23,103693.36781183696,158951.4944942832,262644.86230612017
24,221847.1640180399,149839.35852466885,371686.5225427088
25,143794.82863493665,132643.5845146188,276438.41314955545
26,217963.58502317165,166076.83372972094,384040.4187528926
27,151778.15740374257,131573.2641148805,283351.4215186231
28,192335.6302325252,122408.36285711809,314743.9930896433
29,151260.21261656831,74363.03594799164,225623.24856455997
30,233699.54208317836,96818.73099071709,330518.2730738954
31,150919.0544325318,126893.25074057399,277812.3051731058
32,212565.9450667478,135111.75079741195,347677.69586415973
33,124004.33979926012,105473.62777414554,229477.96757340565
34,151201.2883318886,48920.02113501827,200121.30946690685
35,130031.27125433457,115228.96672523848,245260.23797957305
36,248429.1116720916,125035.59600205219,373464.7076741438
37,176620.85388126769,45424.03843386588,222044.89231513356
38,139032.7354143038,116232.39457431536,255265.12998861918
39,125039.03788363838,105488.35526892568,230527.39315256407
40,158227.16790204475,213093.5182351499,371320.6861371946
41,165982.4562390822,134765.50773375804,300747.9639728402
42,196438.4776927241,160455.66107393248,356894.1387666566
43,155021.40884256762,56357.270801801344,211378.67964436897
44,137606.63759060108,68449.06558406915,206055.70317467023
45,154377.53436594113,142822.62898188198,297200.1633478231
46,128673.8226203639,93582.60645659974,222256.42907696363
47,185543.46987422253,166666.6919362941,352210.1618105166
48,173515.10512791178,164848.9849003862,338364.090028298
49,201786.3464268489,178478.4632228914,380264.80964974035
50,208768.3189282433,158829.75015778502,367598.0690860283
51,220771.2697922786,158750.6743157402,379521.94410801877
52,163277.73029935904,113464.29325366276,276742.02355302183
