district,d_votes,r_votes
1,110636,208592
2,272883,106734
3,188067,234246
4,227730,114950
5,140919,227643
6,165408,121664
7,197429,98341
8,201962,71068
9,130183,121174
10,242325,122219
11,274796,64315
12,185176,97849
13,105554,105367
14,187263,89125
15,211648,77896
16,179583,128893
17,172462,82415
18,147674,80832
19,252458,111862
20,100926,187862
21,102798,92733
22,78023,89484
23,105563,159286
24,214724,127755
25,137837,107194
26,187393,146913
27,154040,146050
28,204489,110455
29,146312,63374
30,213100,98559
31,148095,99856
32,212934,108711
33,137197,96078
34,105394,84020
35,136413,97142
36,246002,111985
37,160364,44450
38,165110,110818
39,130191,99469
40,171637,211998
41,171229,183216
42,159153,74410
43,160080,53152
44,164765,66087
45,158264,157611
46,134013,77279
47,181721,171554
48,146665,213625
49,197397,180950
50,231836,128859
51,198835,128749
52,172217,87501
